Referencia interna,OFICIAL,VENTAS,SOMOS_PEKES
7720,MLM592923985,MLM592925465,N/D
100516,MLM616425524,MLM540706479,N/D
100520,MLM616597504,MLM543287039,N/D
100540,MLM616438785,N/D,N/D
100543,MLM616438786,MLM543407757,N/D
100546,MLM616603931,MLM543407754,N/D
100549,MLM616597556,MLM543407755,N/D
100553,MLM615665582,MLM541559594,N/D
101130,N/D,MLM541569989,N/D
101136,N/D,MLM541639747,N/D
102105,MLM539453917,MLM544416609,N/D
102603,MLM543242388,MLM541639777,N/D
103577,N/D,N/D,N/D
104106,MLM616592729,MLM544524078,N/D
104133,MLM616592731,MLM543456173,N/D
104141,MLM616592738,MLM539827698,N/D
105106,MLM616439214,MLM539827638,N/D
105125,N/D,N/D,N/D
105127,MLM616439212,MLM539827643,N/D
105134,MLM616439220,MLM540086742,N/D
105145,MLM616439219,MLM550544489,N/D
105146,MLM616439213,MLM555615972,N/D
105147,N/D,N/D,N/D
105157,MLM616439227,MLM539827647,N/D
105158,MLM616439218,MLM539827993,N/D
105170,MLM616439226,MLM541247073,N/D
105503,N/D,MLM544086843,N/D
109178,N/D,MLM541889712,N/D
109179,N/D,MLM541887677,N/D
109190,MLM616589685,N/D,N/D
109244,MLM616589654,MLM540265371,N/D
109245,MLM616589645,MLM540264957,N/D
109246,MLM616589651,MLM540264955,N/D
109704,MLM543966762,MLM544086085,N/D
109706,N/D,MLM544175256,N/D
109708,MLM540409586,MLM538970913,N/D
109710,MLM543953591,MLM544086909,N/D
109715,MLM548050142,MLM538967978,N/D
109718,MLM543964482,MLM543731042,N/D
109720,MLM540749477,MLM540749480,N/D
109721,MLM543958525,MLM543960028,N/D
109723,MLM540756364,MLM540756110,N/D
109724,MLM541231373,MLM541188160,N/D
110156,N/D,MLM544086892,N/D
110160,N/D,MLM540073235,N/D
110161,N/D,MLM540069233,N/D
110162,N/D,MLM541899254,N/D
110164,N/D,MLM544516267,N/D
110165,N/D,MLM544907161,N/D
111115,N/D,MLM545867047,N/D
111116,MLM635888420,MLM545873374,N/D
111118,N/D,MLM545866796,N/D
111124,N/D,MLM545866848,N/D
111130,N/D,MLM545866948,N/D
111136,N/D,MLM545866884,N/D
111142,N/D,MLM545866722,N/D
111151,N/D,MLM545866894,N/D
111152,MLM636300529,MLM636331192,N/D
111154,MLM636300579,MLM636331205,N/D
111156,MLM636300578,MLM636331197,N/D
111157,N/D,MLM545866679,N/D
111158,MLM636300536,MLM636331203,N/D
111160,MLM636300563,MLM636331210,N/D
111162,MLM636300543,MLM636331213,N/D
111164,MLM636300583,MLM636331219,N/D
111165,MLM636300552,MLM636331216,N/D
111166,N/D,MLM545866869,N/D
111168,MLM636300519,MLM636331211,N/D
111170,MLM636300538,MLM636331196,N/D
111172,MLM635888416,MLM545873371,N/D
111174,MLM636300527,MLM636331201,N/D
111176,MLM636301078,MLM636331218,N/D
111178,MLM636300507,MLM636331209,N/D
111180,MLM636300525,MLM636331208,N/D
111181,N/D,MLM545866890,N/D
111182,MLM636300517,MLM636331223,N/D
111186,MLM636300551,MLM636331191,N/D
111187,N/D,MLM545909414,N/D
111190,MLM636300522,MLM636331200,N/D
111193,N/D,MLM545866686,N/D
111194,MLM636300540,MLM636331228,N/D
111196,MLM636300561,MLM636331207,N/D
111198,MLM636300532,MLM636331202,N/D
111203,N/D,MLM545867080,N/D
111205,N/D,MLM545866326,N/D
111218,N/D,MLM546146948,N/D
111219,N/D,N/D,N/D
111222,N/D,MLM545866962,N/D
111227,N/D,MLM545866661,N/D
111229,N/D,MLM545866465,N/D
111239,N/D,MLM545866943,N/D
111242,N/D,MLM545866343,N/D
111243,N/D,MLM546146947,N/D
111248,N/D,MLM545866861,N/D
111250,N/D,MLM545866854,N/D
111253,N/D,MLM545866807,N/D
111256,MLM635888505,MLM540450798,N/D
111258,MLM635888478,MLM543460559,N/D
111259,MLM635888509,MLM544523873,N/D
111260,N/D,MLM543445499,N/D
111263,N/D,MLM539248428,N/D
111264,N/D,MLM546360613,N/D
111265,MLM635889064,MLM546422359,N/D
111266,N/D,MLM546504972,N/D
111267,MLM635889042,MLM546146927,N/D
111268,N/D,MLM546140429,N/D
111269,N/D,MLM540453750,N/D
111290,MLM616431424,MLM544072152,N/D
111292,N/D,MLM541247082,N/D
111308,N/D,MLM546140397,N/D
111311,MLM635888488,MLM545909451,N/D
111312,N/D,MLM545872776,N/D
111313,MLM635888423,MLM545866406,N/D
111314,MLM635888489,MLM541439777,N/D
111315,MLM635888425,MLM545866778,N/D
111320,N/D,N/D,N/D
111321,N/D,N/D,N/D
111322,N/D,N/D,N/D
111323,N/D,N/D,N/D
111324,N/D,N/D,N/D
111325,N/D,N/D,N/D
111326,N/D,N/D,N/D
111327,N/D,N/D,N/D
111328,N/D,N/D,N/D
111329,N/D,N/D,N/D
111331,N/D,N/D,N/D
111332,N/D,N/D,N/D
111333,N/D,N/D,N/D
111334,N/D,N/D,N/D
111342,MLM635888475,MLM546140267,N/D
111344,MLM635888557,MLM546140496,N/D
111346,MLM635888644,MLM546140613,N/D
111348,MLM635888617,MLM546140656,N/D
111350,N/D,MLM542245533,N/D
111351,MLM635888547,MLM546140589,N/D
111354,MLM635888486,MLM546423165,N/D
111488,N/D,MLM546140970,N/D
111489,N/D,MLM546140306,N/D
111496,MLM635889074,MLM546140403,N/D
111503,MLM635889068,MLM546140382,N/D
111506,MLM635889059,MLM546146914,N/D
111509,MLM635889069,MLM546140256,N/D
111512,MLM635889062,MLM546140552,N/D
111518,MLM635889052,MLM546140998,N/D
111524,N/D,MLM546140509,N/D
111527,MLM635889127,MLM546140389,N/D
111532,MLM635888419,MLM539708224,N/D
111533,MLM635888477,MLM540447107,N/D
111534,MLM635888415,MLM540447171,N/D
111535,N/D,MLM540446939,N/D
111536,MLM635888406,MLM540446977,N/D
